Team	Year	Position	Number	Name	Age	Game Started	Sub Ins	Goals	Total Shots	Shots on Target	Assists	Fouls	Fouls Suffered	Yellow cards	Red cards
Chelsea	2010	Defender	34	Ryan Bertrand	27	0	1	0	0	0	1	0	1	0	0
Chelsea	2010	Defender	17	Jose Bosingwa	34	13	7	0	16	4	0	8	15	1	0
Chelsea	2010	Defender	43	Jeffrey Bruma	25	1	1	0	1	0	0	1	0	0	0
Chelsea	2010	Defender	45	Nathaniel Chalobah	22	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Defender	3	Ashley Cole	36	38	0	0	27	6	3	29	45	4	0
Chelsea	2010	Defender	19	Paulo Ferreira	38	12	9	0	0	0	2	8	3	2	0
Chelsea	2010	Defender	NA	Ben Gordon	31	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Defender	27	Sam Hutchinson	27	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Defender	2	Branislav Ivanovic	33	32	2	4	38	11	4	61	35	12	0
Chelsea	2010	Defender	NA	Tomas Kalas	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Defender	4	David Luiz	30	11	1	2	10	3	0	18	12	3	0
Chelsea	2010	Defender	63	Slobodan Rajkovic	28	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Defender	26	John Terry	36	33	0	3	27	9	1	29	26	6	0
Chelsea	2010	Defender	33	Alex	34	12	3	2	11	4	0	9	3	3	0
Chelsea	2010	Defender	38	Patrick van Aanholt	26	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Forward	39	Nicolas Anelka	38	27	5	6	74	22	4	16	33	0	0
Chelsea	2010	Forward	58	Adam Coombes	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Forward	11	Didier Drogba	39	30	6	11	150	51	13	57	44	6	0
Chelsea	2010	Forward	21	Salomon Kalou	31	16	15	10	65	25	3	18	18	1	0
Chelsea	2010	Forward	64	Milan Lalkovic	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Forward	60	Danny Philliskirk	26	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Forward	23	Daniel Sturridge	27	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Forward	9	Fernando Torres	33	30	7	10	111	36	4	59	51	7	0
Chelsea	2010	Midfielder	NA	Yossi Benayoun	37	1	6	1	4	1	0	0	2	0	0
Chelsea	2010	Midfielder	48	Conor Clifford	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	47	Billy Clifford	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	5	Michael Essien	34	32	1	3	68	20	2	40	53	5	1
Chelsea	2010	Midfielder	44	Gael Kakuta	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	8	Frank Lampard	38	23	1	10	76	31	2	10	12	2	0
Chelsea	2010	Midfielder	15	Florent Malouda	36	33	5	13	88	38	4	24	35	1	0
Chelsea	2010	Midfielder	24	Nemanja Matic	28	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	20	Josh McEachran	24	1	8	0	2	0	0	5	0	1	0
Chelsea	2010	Midfielder	52	Jacob Mellis	26	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	12	John Obi Mikel	30	28	0	0	10	3	1	30	35	3	0
Chelsea	2010	Midfielder	55	Jacopo Sala	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	7	Ramires	30	22	7	2	29	7	0	53	30	7	0
Chelsea	2010	Midfielder	49	Gökhan Töre	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	59	Michael Woods	27	0	0	0	0	0	0	0	0	0	0
Chelsea	2010	Midfielder	18	Yuri Zhirkov	33	6	6	0	10	2	2	9	10	1	0
Chelsea	2011	Defender	34	Ryan Bertrand	27	6	1	0	2	0	0	7	7	1	0
Chelsea	2011	Defender	17	Jose Bosingwa	34	24	3	1	15	4	2	33	14	5	1
Chelsea	2011	Defender	24	Gary Cahill	31	28	1	3	24	11	0	24	18	4	1
Chelsea	2011	Defender	45	Nathaniel Chalobah	22	0	0	0	0	0	0	0	0	0	0
Chelsea	2011	Defender	3	Ashley Cole	36	31	1	0	14	4	6	31	33	7	1
Chelsea	2011	Defender	19	Paulo Ferreira	38	3	3	0	1	0	0	3	5	1	0
Chelsea	2011	Defender	27	Sam Hutchinson	27	1	1	0	0	0	0	0	0	0	0
Chelsea	2011	Defender	2	Branislav Ivanovic	33	26	3	3	22	8	1	24	21	6	0
Chelsea	2011	Defender	4	David Luiz	30	18	2	2	15	6	1	22	23	5	0
Chelsea	2011	Defender	26	John Terry	36	31	0	6	25	10	1	24	21	8	0
Chelsea	2011	Forward	NA	Patrick Bamford	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2011	Forward	11	Didier Drogba	39	16	8	5	65	21	1	29	26	1	1
Chelsea	2011	Forward	21	Salomon Kalou	31	7	5	1	13	5	1	4	6	0	0
Chelsea	2011	Forward	18	Romelu Lukaku	23	1	7	0	9	4	1	3	1	0	0
Chelsea	2011	Forward	10	Juan Mata	29	29	5	6	65	24	13	17	30	2	0
Chelsea	2011	Forward	23	Daniel Sturridge	27	28	2	11	93	32	3	11	31	3	0
Chelsea	2011	Forward	9	Fernando Torres	33	20	12	6	66	20	4	36	34	4	1
Chelsea	2011	Midfielder	48	Conor Clifford	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2011	Midfielder	47	Billy Clifford	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2011	Midfielder	35	Lucas Piazon	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2011	Midfielder	5	Michael Essien	34	10	4	0	20	3	1	17	13	3	0
Chelsea	2011	Midfielder	8	Frank Lampard	38	26	4	11	65	25	5	18	21	5	0
Chelsea	2011	Midfielder	15	Florent Malouda	36	11	15	2	35	10	3	21	15	3	0
Chelsea	2011	Midfielder	16	Raul Meireles	34	23	7	2	51	10	4	31	20	8	0
Chelsea	2011	Midfielder	12	John Obi Mikel	30	15	7	0	11	2	0	28	23	4	0
Chelsea	2011	Midfielder	6	Oriol Romeu	25	11	5	0	7	1	0	15	11	2	0
Chelsea	2011	Midfielder	7	Ramires	30	28	2	5	49	22	1	42	38	4	0
Chelsea	2012	Defender	57	Nathan Aké	22	1	2	0	1	0	0	0	0	0	0
Chelsea	2012	Defender	28	César Azpilicueta	27	24	3	0	10	2	4	21	20	4	0
Chelsea	2012	Defender	34	Ryan Bertrand	27	14	5	0	8	3	0	14	13	1	0
Chelsea	2012	Defender	24	Gary Cahill	31	24	2	2	16	7	2	14	15	1	0
Chelsea	2012	Defender	NA	Andreas Christensen	21	0	0	0	0	0	0	0	0	0	0
Chelsea	2012	Defender	3	Ashley Cole	36	31	0	1	21	3	2	14	22	3	0
Chelsea	2012	Defender	19	Paulo Ferreira	38	0	2	0	0	0	0	0	0	0	0
Chelsea	2012	Defender	51	Rohan Ince	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2012	Defender	2	Branislav Ivanovic	33	33	1	5	25	7	1	23	25	4	1
Chelsea	2012	Defender	4	David Luiz	30	29	1	2	56	14	2	41	43	8	0
Chelsea	2012	Defender	26	John Terry	36	11	3	4	7	4	0	6	4	1	0
Chelsea	2012	Forward	29	Demba Ba	31	30	4	15	135	54	0	32	65	0	0
Chelsea	2012	Forward	60	Adam Coombes	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2012	Forward	17	Eden Hazard	26	31	3	9	63	26	11	25	79	2	0
Chelsea	2012	Forward	10	Juan Mata	29	31	4	12	70	24	12	15	35	3	0
Chelsea	2012	Forward	13	Victor Moses	26	13	11	1	28	6	1	13	20	0	0
Chelsea	2012	Forward	9	Fernando Torres	33	28	8	8	68	29	6	52	40	4	1
Chelsea	2012	Midfielder	30	Yossi Benayoun	37	4	8	0	3	0	1	10	3	1	0
Chelsea	2012	Midfielder	8	Frank Lampard	38	21	8	15	80	31	1	14	12	2	0
Chelsea	2012	Midfielder	15	Florent Malouda	36	0	0	0	0	0	0	0	0	0	0
Chelsea	2012	Midfielder	21	Marko Marin	28	2	4	1	6	2	1	3	1	2	0
Chelsea	2012	Midfielder	12	John Obi Mikel	30	19	3	0	11	0	0	35	12	3	0
Chelsea	2012	Midfielder	6	Oriol Romeu	25	4	2	0	5	0	0	3	4	1	0
Chelsea	2012	Midfielder	7	Ramires	30	28	7	5	35	12	1	53	46	8	1
Chelsea	2012	Midfielder	11	Oscar	25	24	10	4	60	20	5	33	37	2	0
Chelsea	2013	Defender	27	Nathan Aké	22	0	1	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	28	César Azpilicueta	27	26	3	0	5	2	0	30	24	1	0
Chelsea	2013	Defender	34	Ryan Bertrand	27	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	24	Gary Cahill	31	29	1	1	18	5	1	12	20	2	0
Chelsea	2013	Defender	3	Ashley Cole	36	15	2	0	4	1	2	14	16	1	0
Chelsea	2013	Defender	2	Branislav Ivanovic	33	36	0	3	38	10	1	47	26	8	0
Chelsea	2013	Defender	33	Tomas Kalas	23	2	0	0	1	0	0	0	0	0	0
Chelsea	2013	Defender	54	Todd Kane	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	4	David Luiz	30	15	4	0	31	7	1	26	23	6	0
Chelsea	2013	Defender	59	Kenneth Omeruo	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	56	George Saville	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	26	John Terry	36	34	0	2	26	8	1	14	21	3	0
Chelsea	2013	Defender	NA	Kurt Zouma	22	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Defender	38	Patrick van Aanholt	26	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Forward	19	Demba Ba	31	5	14	5	31	13	1	18	8	0	0
Chelsea	2013	Forward	29	Samuel Eto'o	36	16	5	9	59	26	2	14	14	1	0
Chelsea	2013	Forward	17	Eden Hazard	26	32	3	14	73	32	7	17	89	2	0
Chelsea	2013	Forward	14	André Schürrle	26	15	15	8	57	18	2	21	13	1	0
Chelsea	2013	Forward	9	Fernando Torres	33	17	12	5	61	18	5	21	28	3	1
Chelsea	2013	Midfielder	NA	Christian Atsu	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	47	Lewis Baker	22	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	45	Nathaniel Chalobah	22	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	22	Willian	28	18	7	4	45	16	2	25	21	3	1
Chelsea	2013	Midfielder	30	Lucas Piazon	23	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	NA	Thorgan Hazard	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	31	Gael Kakuta	25	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	8	Frank Lampard	38	20	6	6	57	24	3	18	7	4	0
Chelsea	2013	Midfielder	21	Nemanja Matic	28	15	2	0	13	2	4	28	12	3	0
Chelsea	2013	Midfielder	20	Josh McEachran	24	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	12	John Obi Mikel	30	11	13	1	9	2	1	19	9	3	0
Chelsea	2013	Midfielder	13	Victor Moses	26	0	0	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	15	Mohamed Salah	24	6	4	2	21	6	1	3	14	1	0
Chelsea	2013	Midfielder	7	Ramires	30	29	1	1	51	12	2	54	58	8	1
Chelsea	2013	Midfielder	49	John Swift	22	0	1	0	0	0	0	0	0	0	0
Chelsea	2013	Midfielder	11	Oscar	25	24	9	8	71	24	2	33	26	4	0
Chelsea	2013	Midfielder	16	Marco van Ginkel	24	0	2	0	0	0	0	0	0	0	0
Chelsea	2014	Defender	28	César Azpilicueta	27	29	0	0	7	3	3	19	14	1	1
Chelsea	2014	Defender	24	Gary Cahill	31	33	3	1	22	9	0	23	17	5	0
Chelsea	2014	Defender	31	Andreas Christensen	21	0	1	0	0	0	0	1	0	0	0
Chelsea	2014	Defender	2	Branislav Ivanovic	33	38	0	4	44	11	5	42	26	10	1
Chelsea	2014	Defender	3	Filipe Luís	31	9	6	0	5	2	0	19	10	1	0
Chelsea	2014	Defender	26	John Terry	36	38	0	5	20	10	0	13	19	2	0
Chelsea	2014	Defender	5	Kurt Zouma	22	7	8	0	1	0	0	6	1	0	0
Chelsea	2014	Forward	37	Isaiah Brown	20	0	1	0	0	0	0	0	0	0	0
Chelsea	2014	Forward	11	Didier Drogba	39	8	20	4	30	9	1	13	16	5	0
Chelsea	2014	Forward	18	Loïc Rémy	30	8	13	7	37	16	0	10	15	0	0
Chelsea	2014	Forward	35	Dominic Solanke	19	0	0	0	0	0	0	0	0	0	0
Chelsea	2014	Forward	19	Diego Costa	28	24	2	20	76	37	3	33	25	8	0
Chelsea	2014	Midfielder	32	Jeremie Boga	20	0	0	0	0	0	0	0	0	0	0
Chelsea	2014	Midfielder	23	Juan Cuadrado	28	4	8	0	8	3	0	5	10	2	0
Chelsea	2014	Midfielder	22	Willian	28	28	8	2	55	17	3	27	53	3	0
Chelsea	2014	Midfielder	4	Cesc Fàbregas	30	33	1	3	43	17	18	30	36	11	1
Chelsea	2014	Midfielder	10	Eden Hazard	26	38	0	14	78	33	9	12	113	2	0
Chelsea	2014	Midfielder	36	Ruben Loftus-Cheek	21	2	1	0	1	0	0	3	2	0	0
Chelsea	2014	Midfielder	21	Nemanja Matic	28	35	1	1	29	10	3	47	22	10	1
Chelsea	2014	Midfielder	12	John Obi Mikel	30	6	12	0	3	1	1	14	3	1	0
Chelsea	2014	Midfielder	7	Ramires	30	12	12	2	17	5	4	19	18	4	0
Chelsea	2014	Midfielder	8	Oscar	25	26	2	6	72	23	8	35	22	5	0
Chelsea	2015	Defender	34	Ola Aina	20	0	0	0	0	0	0	0	0	0	0
Chelsea	2015	Defender	28	César Azpilicueta	27	36	1	2	10	5	3	39	18	7	0
Chelsea	2015	Defender	24	Gary Cahill	31	21	2	2	13	4	1	17	21	2	0
Chelsea	2015	Defender	37	Jake Clark-Salter	19	0	1	0	0	0	0	0	0	0	0
Chelsea	2015	Defender	2	Branislav Ivanovic	33	33	0	2	28	7	2	32	22	5	0
Chelsea	2015	Defender	20	Matt Miazga	21	2	0	0	0	0	0	1	2	1	0
Chelsea	2015	Defender	6	Baba Rahman	22	11	4	0	6	2	1	14	4	1	0
Chelsea	2015	Defender	26	John Terry	36	24	0	1	10	2	0	10	5	2	2
Chelsea	2015	Defender	43	Fikayo Tomori	19	0	1	0	0	0	0	0	0	0	0
Chelsea	2015	Defender	5	Kurt Zouma	22	21	2	1	17	2	1	9	8	0	0
Chelsea	2015	Forward	42	Tammy Abraham	19	0	2	0	2	0	0	2	0	0	0
Chelsea	2015	Forward	11	Alexandre Pato	27	1	1	1	4	2	0	2	3	0	0
Chelsea	2015	Forward	9	Radamel Falcao	31	1	9	1	11	5	0	7	5	1	0
Chelsea	2015	Forward	16	Kenedy	21	4	10	1	13	3	0	6	9	0	0
Chelsea	2015	Forward	17	Pedro	29	24	5	7	57	16	2	23	46	3	0
Chelsea	2015	Forward	18	Loïc Rémy	30	3	10	1	13	5	0	1	6	0	0
Chelsea	2015	Forward	19	Diego Costa	28	27	1	12	68	28	6	43	49	8	0
Chelsea	2015	Midfielder	41	Charlie Colkett	20	0	0	0	0	0	0	0	0	0	0
Chelsea	2015	Midfielder	22	Willian	28	32	3	5	60	20	6	27	67	5	0
Chelsea	2015	Midfielder	4	Cesc Fàbregas	30	33	4	5	45	19	7	38	42	5	0
Chelsea	2015	Midfielder	10	Eden Hazard	26	25	6	4	36	14	3	15	70	2	0
Chelsea	2015	Midfielder	36	Ruben Loftus-Cheek	21	4	9	1	12	3	0	4	14	0	0
Chelsea	2015	Midfielder	21	Nemanja Matic	28	28	5	2	34	8	2	38	17	4	1
Chelsea	2015	Midfielder	12	John Obi Mikel	30	19	6	0	7	0	1	32	11	6	0
Chelsea	2015	Midfielder	38	Kasey Palmer	20	0	0	0	0	0	0	0	0	0	0
Chelsea	2015	Midfielder	14	Bertrand Traore	21	4	6	2	17	6	1	3	4	0	0
Chelsea	2015	Midfielder	8	Oscar	25	20	7	3	52	16	3	18	35	4	0
Chelsea	2016	Defender	34	Ola Aina	20	0	2	0	0	0	0	0	0	0	0
Chelsea	2016	Defender	6	Nathan Aké	22	8	3	3	6	4	0	3	2	0	0
Chelsea	2016	Defender	3	Marcos Alonso	26	29	1	6	43	15	3	25	20	2	0
Chelsea	2016	Defender	28	César Azpilicueta	27	35	0	0	11	3	3	26	21	4	0
Chelsea	2016	Defender	24	Gary Cahill	31	35	0	6	21	10	0	32	24	5	0
Chelsea	2016	Defender	30	David Luiz	30	31	0	1	28	10	0	25	29	6	0
Chelsea	2016	Defender	26	John Terry	36	4	3	0	4	1	0	4	2	1	0
Chelsea	2016	Defender	5	Kurt Zouma	22	2	5	0	0	0	0	1	2	0	0
Chelsea	2016	Forward	23	Michy Batshuayi	23	0	17	1	6	2	1	5	0	0	0
Chelsea	2016	Forward	16	Kenedy	21	0	0	0	0	0	0	0	0	0	0
Chelsea	2016	Forward	11	Pedro	29	25	7	8	52	16	8	32	35	6	0
Chelsea	2016	Forward	41	Dominic Solanke	19	0	0	0	0	0	0	0	0	0	0
Chelsea	2016	Forward	19	Diego Costa	28	33	0	20	104	41	6	42	87	9	0
Chelsea	2016	Midfielder	29	Nathaniel Chalobah	22	0	9	0	1	1	1	1	1	1	0
Chelsea	2016	Midfielder	22	Willian	28	13	18	7	37	13	1	11	18	3	0
Chelsea	2016	Midfielder	4	Cesc Fàbregas	30	11	15	4	22	7	11	21	16	8	0
Chelsea	2016	Midfielder	10	Eden Hazard	26	33	0	15	70	32	5	19	92	3	0
Chelsea	2016	Midfielder	7	N'Golo Kanté	26	33	0	1	27	7	1	52	14	9	0
Chelsea	2016	Midfielder	14	Ruben Loftus-Cheek	21	0	6	0	1	1	0	2	0	0	0
Chelsea	2016	Midfielder	21	Nemanja Matic	28	29	5	1	19	7	7	33	25	4	0
Chelsea	2016	Midfielder	15	Victor Moses	26	27	5	3	39	12	2	27	27	4	0
