Team	Year	Position	Number	Name	Age	Game Started	Sub Ins	Goals	Total Shots	Shots on Target	Assists	Fouls	Fouls Suffered	Yellow cards	Red cards
Chelsea	s2016	Defender	34	Ola Aina	20	0	2	0	0	0	0	0	0	0	0
Chelsea	s2016	Defender	6	Nathan Ake	22	8	3	3	6	4	0	3	2	0	0
Chelsea	s2016	Defender	3	Marcos Alonso	26	29	1	6	43	15	3	25	20	2	0
Chelsea	s2016	Defender	28	Cesar Azpilicueta	27	35	0	0	11	3	3	26	21	4	0
Chelsea	s2016	Defender	24	Gary Cahill	31	35	0	6	21	10	0	32	24	5	0
Chelsea	s2016	Defender	30	David Luiz	30	31	0	1	28	10	0	25	29	6	0
Chelsea	s2016	Defender	26	John Terry	36	4	3	0	4	1	0	4	2	1	0
Chelsea	s2016	Defender	5	Kurt Zouma	22	2	5	0	0	0	0	1	2	0	0
Chelsea	s2016	Forward	23	Michy Batshuayi	23	0	17	1	6	2	1	5	0	0	0
Chelsea	s2016	Forward	16	Kenedy	21	0	0	0	0	0	0	0	0	0	0
Chelsea	s2016	Forward	11	Pedro	29	25	7	8	52	16	8	32	35	6	0
Chelsea	s2016	Forward	41	Dominic Solanke	19	0	0	0	0	0	0	0	0	0	0
Chelsea	s2016	Forward	19	Diego Costa	28	33	0	20	104	41	6	42	87	9	0
Chelsea	s2016	Midfielder	29	Nathaniel Chalobah	22	0	9	0	1	1	1	1	1	1	0
Chelsea	s2016	Midfielder	22	Willian	28	13	18	7	37	13	1	11	18	3	0
Chelsea	s2016	Midfielder	4	Cesc Fabregas	30	11	15	4	22	7	11	21	16	8	0
Chelsea	s2016	Midfielder	10	Eden Hazard	26	33	0	15	70	32	5	19	92	3	0
Chelsea	s2016	Midfielder	7	N'Golo Kante	26	33	0	1	27	7	1	52	14	9	0
Chelsea	s2016	Midfielder	14	Ruben Loftus-Cheek	21	0	6	0	1	1	0	2	0	0	0
Chelsea	s2016	Midfielder	21	Nemanja Matic	28	29	5	1	19	7	7	33	25	4	0
Chelsea	s2016	Midfielder	15	Victor Moses	26	27	5	3	39	12	2	27	27	4	0
