Team	Year	Position	Number	Name	Age	Game Started	Sub Ins	Goals	Total Shots	Shots on Target	Assists	Fouls	Fouls Suffered	Yellow cards	Red cards
Manchester_U	s2010	Defender	6	Wes Brown	37	4	3	0	2	0	0	8	1	2	0
Manchester_U	s2010	Defender	35	Reece Brown	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Defender	21	Rafael	26	15	1	0	7	4	1	19	21	2	1
Manchester_U	s2010	Defender	6	Jonny Evans	29	11	2	0	3	1	0	13	9	2	1
Manchester_U	s2010	Defender	31	Corry Evans	26	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Defender	3	Patrice Evra	35	34	1	1	14	4	1	43	31	1	0
Manchester_U	s2010	Defender	5	Rio Ferdinand	38	19	0	0	1	1	0	3	9	0	0
Manchester_U	s2010	Defender	45	Oliver Gill	26	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Defender	22	John O'Shea	36	18	2	0	8	1	3	10	4	1	0
Manchester_U	s2010	Defender	12	Chris Smalling	27	11	5	0	9	1	0	12	11	0	0
Manchester_U	s2010	Defender	15	Nemanja Vidic	35	35	0	5	21	7	1	39	35	6	1
Manchester_U	s2010	Defender	NA	Scott Wootton	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Defender	20	Fabio	26	5	6	1	1	1	0	9	4	2	0
Manchester_U	s2010	Defender	30	Ritchie de Laet	28	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	37	Robbie Brady	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	16	Michael Carrick	35	23	5	0	19	2	0	13	18	1	0
Manchester_U	s2010	Midfielder	23	Tom Cleverley	27	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	46	Danny Drinkwater	27	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	24	Darren Fletcher	33	24	2	2	17	7	6	19	19	3	0
Manchester_U	s2010	Midfielder	28	Darron Gibson	29	6	6	0	19	4	1	7	2	3	0
Manchester_U	s2010	Midfielder	11	Ryan Giggs	43	19	6	2	32	8	6	23	10	5	0
Manchester_U	s2010	Midfielder	4	Owen Hargreaves	36	1	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	43	Matty James	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	49	Ravel Morrison	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	17	Nani	30	31	2	9	135	39	14	32	62	1	0
Manchester_U	s2010	Midfielder	47	Oliver Norwood	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	26	Gabriel Obertan	28	3	4	0	8	2	0	2	3	0	0
Manchester_U	s2010	Midfielder	8	Anderson	29	14	4	1	19	6	2	15	18	2	0
Manchester_U	s2010	Midfielder	13	Park Ji-Sung	36	13	2	5	18	8	3	9	37	1	0
Manchester_U	s2010	Midfielder	42	Paul Pogba	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	22	Paul Scholes	42	16	6	1	20	5	3	32	6	9	0
Manchester_U	s2010	Midfielder	46	Ryan Tunnicliffe	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Midfielder	25	Antonio Valencia	31	8	2	1	7	1	2	13	4	1	0
Manchester_U	s2010	Forward	NA	Nicholas Ajose	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2010	Forward	9	Dimitar Berbatov	36	24	8	20	98	42	4	36	15	1	0
Manchester_U	s2010	Forward	NA	John Cofie	24	0	0	0	0	0	0	0	0	0	0
